[00:18:25] [ServerMain/INFO]: Building unoptimized datafixer
[00:18:28] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[00:18:32] [ServerMain/INFO]: Loaded 7 recipes
[00:18:32] [ServerMain/INFO]: Loaded 1179 advancements
[00:18:35] [Server thread/INFO]: Starting minecraft server version 1.19.2
[00:18:35] [Server thread/INFO]: Loading properties
[00:18:35] [Server thread/INFO]: Default game type: SURVIVAL
[00:18:35] [Server thread/INFO]: Generating keypair
[00:18:35] [Server thread/INFO]: Starting Minecraft server on *:25565
[00:18:35] [Server thread/INFO]: Using epoll channel type
[00:18:36] [Server thread/INFO]: Preparing level "world"
[00:19:10] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[00:19:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
